tanggal,penjualan,persediaan,produksi
7/9/2022,50,286,96
8/9/2022,20,327,61
9/9/2022,150,264,87
10/9/2022,,311,47
11/9/2022,80,330,99
12/9/2022,61,297,28
13/9/2022,,320,23
14/9/2022,112,216,8
15/9/2022,43,183,10
16/9/2022,43,157,17
17/9/2022,41,134,18
18/9/2022,40,119,25
19/9/2022,82,71,34
20/9/2022,40,58,27
21/9/2022,50,50,42
22/9/2022,20,30,
23/9/2022,42,34,46
24/9/2022,30,68,64
25/9/2022,50,48,30
26/9/2022,,109,61
27/9/2022,53,113,57
28/9/2022,,143,30
29/9/2022,11,161,29
30/9/2022,,161,
1/10/2022,90,71,
2/10/2022,43,28,
3/10/2022,60,32,64
4/10/2022,51,36,55
5/10/2022,30,94,88
6/10/2022,123,68,97
7/10/2022,70,49,51
8/10/2022,51,30,32
9/10/2022,80,25,75
10/10/2022,50,37,62
11/10/2022,82,54,99
12/10/2022,100,57,103
13/10/2022,24,138,105
14/10/2022,22,149,33
15/10/2022,30,130,11
16/10/2022,70,120,60
17/10/2022,60,190,130
18/10/2022,150,163,123
19/10/2022,14,240,91
20/10/2022,30,297,87
21/10/2022,170,195,68
22/10/2022,,345,150
23/10/2022,,426,81
24/10/2022,,426,
25/10/2022,65,509,148
26/10/2022,61,544,96
27/10/2022,70,546,72
28/10/2022,15,567,36
29/10/2022,122,469,24
30/10/2022,30,439,
31/10/2022,91,348,
1/11/2022,,348,
2/11/2022,,348,
3/11/2022,,348,
4/11/2022,,348,
5/11/2022,,348,
6/11/2022,60,158,218
7/11/2022,,219,61
8/11/2022,,262,43
9/11/2022,182,152,72
10/11/2022,,178,26
11/11/2022,22,235,79
12/11/2022,110,226,101
13/11/2022,,226,
14/11/2022,70,222,66
15/11/2022,12,262,52
16/11/2022,30,283,51
17/11/2022,91,219,
18/11/2022,6,240,27
19/11/2022,100,140,
20/11/2022,140,45,45
21/11/2022,,72,27
22/11/2022,90,8,26
23/11/2022,50,18,64
24/11/2022,70,48,100
25/11/2022,71,111,134
26/11/2022,40,170,99
27/11/2022,,205,35
28/11/2022,160,123,78
29/11/2022,40,149,66
30/11/2022,20,186,57
1/12/2022,150,146,110
2/12/2022,,215,69
3/12/2022,20,296,101
4/12/2022,218,107,29
5/12/2022,,135,28
6/12/2022,70,89,24
7/12/2022,83,6,
8/12/2022,50,1,45
9/12/2022,31,38,68
10/12/2022,30,83,75
11/12/2022,100,32,49
12/12/2022,,48,16
13/12/2022,70,23,45
14/12/2022,30,47,54
15/12/2022,61,41,55
16/12/2022,110,7,76
17/12/2022,43,56,92
18/12/2022,37,83,58
19/12/2022,80,61,58
20/12/2022,30,63,32
21/12/2022,100,18,55
22/12/2022,40,91,84
23/12/2022,20,131,49
24/12/2022,60,123,92
25/12/2022,60,190,127
26/12/2022,,268,78
27/12/2022,10,216,28
28/12/2022,230,321,137
29/12/2022,64,227,75
30/12/2022,61,250,84
31/12/2022,60,190,
16/7/2023,,426,
17/7/2023,,346,
18/7/2023,80,369,
19/7/2023,,345,23
20/7/2023,60,345,36
21/7/2023,141,204,
22/7/2023,,225,21
23/7/2023,1,224,
24/7/2023,60,213,49
25/7/2023,10,203,
27/7/2023,20,143,
28/7/2023,,123,
29/7/2023,62,61,
30/7/2023,,61,
31/7/2023,10,51,
3/8/2023,10,147,106
4/8/2023,,250,103
5/8/2023,80,297,127
6/8/2023,,376,79
8/8/2023,70,306,
9/8/2023,,353,47
12/8/2023,180,391,218
13/8/2023,40,351,
14/8/2023,3,450,108
15/8/2023,60,396,
16/8/2023,,473,77
19/8/2023,110,363,
21/8/2023,60,303,
25/8/2023,,307,4
27/8/2023,100,207,
28/8/2023,90,150,33
29/8/2023,30,221,101
30/8/2023,,304,83
31/8/2023,,383,
1/9/2023,,383,79
2/9/2023,60,323,
5/9/2023,60,290,27
6/9/2023,50,240,
7/9/2023,4,312,76
8/9/2023,100,212,
10/9/2023,10,426,224
12/9/2023,60,39,23
13/9/2023,,466,77
14/9/2023,35,476,45
